Mentions,Category,Reach,Weightage,Love Category,Love Negative,Love Positive,Trust Category,Trust Negative,Trust Positive,Affordability Category,Affordability Negative,Affordability Positive,Awareness Category,Awareness Negative,Awareness Positive
Video: Doctor revives man after a heart attack at IKEA Bengaluru ...,B,1871579,0.5, ,,,,,,,,,,,
"Man collapses at Ikea store, surgeon shopping nearby rushes to his aid ...",A,19923269,1, ,,,,,,,,,,,
"Viral video: Doctor revives man at IKEA Bengaluru, Internet hails him as 'hero' ...",A,5279,1, ,,,,,,,,,,,
Man collapses at IKEA Bangalore; doctor who stood in next lane saves his life with CPR ...,C,193994,0.25, ,,,,,,,,,,,
Man collapses at IKEA Bangalore; doctor who stood in next lane saves his life with CPR ...,A,8241,1, ,,,,,,,,,,,
Bengaluru doctor saves man's life who suffers heart attack while shopping at IKEA ...,C,7040,0.25, ,,,,,,,,,,,
Man IKEA victim suffers a heart attack Bengaluru| Video | Bengaluru ...,C,210110,0.25, ,,,,,,,,,,,
"Man suffers heart attack at IKEA Bengaluru, gets revived by doctor shopping in the next lane. Video ...",A,543064,1, ,,,,,,,,,,,
Bangalore: Surgeon Brings Back Flat-Lined Patient To Life In The Middle Of An IKEA Store ...,A,0,1, ,,,,,,,,,,,
Doctor hailed a hero after saving man who suffered heart attack in Bengaluru's IKEA store - Watch viral video ...,A,108131,1, ,,,,,,,,,,,
"Bengaluru doctor performs CPR, saves life of man after heart attack at IKEA; watch ...",C,876,0.25, ,,,,,,,,,,,
"Bengaluru doctor performs CPR, saves life of man after heart attack at IKEA; watch ...",A,26436,1, ,,,,,,,,,,,
... IKEA स्टोर में गिरे हुए आदमी को पुनर्जीवित करने के बाद बेंगलुरु के डॉक्टर हीरो के रूप में सामने आए ...,C,1614,0.25, ,,,,,,,,,,,
Bengaluru Doctor Hailed as Hero After Reviving Man Who Collapsed at IKEA Store ...,A,215,1, ,,,,,,,,,,,
Bengaluru doctor saves man's life who suffers heart attack while shopping at IKEA; watch video ...,C,8241,0.25, ,,,,,,,,,,,
Doctor Performs CPR To Save Life Of Fellow Shopper Who Collapsed At IKEA Bengaluru — Watch ...,C,4642,0.25, ,,,,,,,,,,,
Doctor Performs CPR To Save Life Of Fellow Shopper Who Collapsed At IKEA Bengaluru -- Watch ...,A,37853,1, ,,,,,,,,,,,
Doctor performs CPR on shopper who suffered heart attack in B'luru IKEA; son shares video ...,B,0,0.5, ,,,,,,,,,,,
Doctor Performs CPR To Save Life Of A Person Who Collapsed While Shopping At IKEA Bengaluru ...,C,28937069,0.25, ,,,,,,,,,,,
Watch: Doctor Performs CPR To Save Life Of A Person Who Collapsed While Shopping At IKEA Bengaluru ...,C,35851,0.25, ,,,,,,,,,,,
Doctor Performs CPR To Save Life Of A Person Who Collapsed While Shopping At IKEA Bengaluru Watch Video ...,C,28331,0.25, ,,,,,,,,,,,
"... शॉपिंग के दौरान IKEA स्टोर में शख्स को पड़ा दिल का दौरा, वहां मौजूद डॉक्टर ने CPR देकर बचाई जान - देखें Video ...",A,87284,1, ,,,,,,,,,,,
Watch: Doctor Performs CPR To Save Life Of A Person Who Collapsed While Shopping At IKEA Bengaluru ...,C,22197753,0.25, ,,,,,,,,,,,
Watch: Doctor Performs CPR To Save Life Of A Person Who Collapsed While Shopping At IKEA Bengaluru ...,C,108131,0.25, ,,,,,,,,,,,
Watch: Doctor Performs CPR To Save Life Of A Person Who Collapsed While Shopping At IKEA Bengaluru ...,A,8503,1, ,,,,,,,,,,,
Watch: Doctor Performs CPR On A Man Who Collapsed While Shopping At IKEA ...,C,73946,0.25, ,,,,,,,,,,,
Man collapses at IKEA Ban doctor who stood in next lane saves his life with CPR ...,C,177613,0.25, ,,,,,,,,,,,
"... Ikea to invest Rs 4,000 crore in Uttar Pradesh ...",C,74436,0.25, ,,,,,,,,,,,
"Teenager, 15, arrested on suspicion of murder of 18-year-old stabbed to death near Walsall IKEA ...",C,33725,0.25, ,,,,,,,,,,,
Locals look to Ikea to spruce up seedy stretch of Market Street in S.F.,C,4642,0.25, ,,,,,,,,,,,
... IKEA aims to achieve 100% zero emissions in home deliveries by 2025 ...,C,119101,0.25, ,,,,,,,,,,,
Locals look to Ikea to spruce up seedy stretch of Market Street in S.F.,C,193994,0.25, ,,,,,,,,,,,
... IKEA to deliver 100 km range electric cargo bike equipped with solar panels ...,C,1614,0.25, ,,,,,,,,,,,
"... 100 Km रेंज वाली इलेक्ट्रिक कार्गो बाइक में डिलीवरी करेगा IKEA, सोलर-पैनल से है लैस ...",A,28331,1, ,,,,,,,,,,,
... Ikea and Sonos’ Symfonisk bookshelf speaker is $20 off ...,C,381,0.25, ,,,,,,,,,,,
... Ikea and Sonos’ Symfonisk bookshelf speaker is $20 off ...,C,8241,0.25, ,,,,,,,,,,,
... Ikea and Sonos’ Symfonisk bookshelf speaker is $20 off ...,C,17894,0.25, ,,,,,,,,,,,
Swedish-Dutch retailer Inter Ikea's retail sales up 6.5% in FY22 ...,B,108131,0.5, ,,,,,, Affordability,,,,,
Safety alert: Ikea chair recalled due to ‘fall hazard’ ...,C,35851,0.25, ,,,,,,,,,,,
... IKEA recalls popular chocolate product as metal has been found inside – ‘do not eat it’ ...,C,221353,0.25, ,1,,,1,,,,,,1,
... health sec will ‘carry the can’ if patients suffer; Musk asks Twitter if he should stand down; Sales jump at Ikea – Car Dealer Magazine ...,C,17817213,0.25, ,,,,,, Affordability,,,,,
"Woman discovers IKEA woven baskets infested with insects, company alludes it’s from her house, so she whacks other baskets in store ...",C,159848,0.25, ,,,,,,,,,,,
Sales jump at Ikea as customers return to shops despite price increases ...,C,28331,0.25, ,,,,,, Affordability,,,,,
... Ikea: Sales up 13 per cent despite costs of living and inflation ...,C,296,0.25, ,,,,,, Affordability,,,,,
Mayur Jumani on the making of IKEA India’s ‘Ghar Aa Jao’ campaign ...,B,381,0.5, ,,,,,,,,,,,
"... Ikea to invest Rs 4,000 cr in Retail sector of Uttar Pradesh ...",C,1470,0.25, ,,,,,,,,,,,
... IKEA’s New Plant-Based mostly Meals Corridor Is Coming to These 3 Cities ...,C,876,0.25, ,,,,,,,,,,,1
Mallika Sinha heads PR at IKEA ...,C,7220,0.25, ,,,,,,,,,,,
"... “Marketing is like an invitation to a party. Branding is the reason they say yes”: Belen Frau, Ikea ...",B,1050,0.5,Love,,,,,,,,,,,
The fate of the Ikea monkey revealed 10 years after it went viral ...,C,0,0.25, ,,,,,,,,,,,
... IKEA monkey’s journey from Toronto to Ontario and the way the Internet went bananas over it ...,C,28937069,0.25, ,,,,,,,,,,,
... 10 years since IKEA Monkey became a global phenomenon ...,C,221353,0.25, ,,,,,,,,,,,
... IKEA monkey: where is it now?,C,381,0.25, ,,,,,,,,,,,
"Sonos and Ikea introduced a smart floor lamp, which is also a column ...",C,8241,0.25, ,,,,,,,,,,,
... Ikea India sets sights on diverse ethnicity ...,C,10896,0.25, ,,,,,,,,,,,
... Ikea India sets sights on diverse ethnicity ...,A,37265,1, ,,,,,,,,,,,
... Ikea India sets sights on diverse ethnicity ...,C,116,0.25, ,,,,,,,,,,,
... Ikea India sets sights on diverse ethnicity ...,C,9909,0.25, ,,,,,,,,,,,
Sonos and Ikea collaborated to create a floor lamp speaker ...,C,14412427,0.25, ,,,,,,,,,,,
Polish court clears IKEA manager who fired employee for anti-LGBT remarks ...,C,381,0.25, ,,,,,,,,,,,
Polish court clears IKEA manager who fired employee for anti-LGBT remarks ...,C,297,0.25, ,,,,,,,,,,,
... IKEA India launches exclusive collection 'Obegransad' ...,B,8241,0.5, ,,,,,,,,,,,
Avito launches IKEA Goods ...,C,8241,0.25, ,,,,,,,,1,,,1
Some Game about Ikea and Guns ...,C,17894,0.25, ,,,,,,,,,,,
"Union Minister @PiyushGoyal Held a Meeting with Global CFO & Deputy CEO, IKEA, ... - Latest Tweet by Prasar Bharati News Services ...",A,1416560,1, ,,,,,,,,,,,1
Who is the Ikea employee from TikTok? Everything to know about the ‘angry retail guy’ starring in Cocaine Bear ...,A,8241,1, ,,,,,,,,,,,1
... IKEA to launch first Delhi store by 2025 ...,C,11765,0.25, ,,,,,,,,,,,
... IKEA to launch first Delhi store by 2025 ...,A,5249807,1, ,,,,,,,,,,,
... IKEA confirms it was hit in significant cyberattack ...,C,2268,0.25, ,,,,,,,,,,,
... IKEA confirms it was hit in significant cyberattack ...,C,10896,0.25, ,,,,,,,,,,,
... Ikea x Swedish House Mafia's all-black collection is super sleek ...,B,894798,0.5, ,,,,,,,,,,,
... IKEA Foundation CEO inspires Lila Poonawalla Foundation girl scholars ...,B,39050,0.5, ,,,,,,,,,,,
"Ingka Group, the Owner of Most IKEA Furniture Stores, is Planning Additional Price Cuts as ... - Latest Tweet by Reuters ...",A,8241,1, ,,,,,, Affordability,,,,,
... IKEA Store Owner Eyes More Price Cuts as Some Input Costs Ease - Latest Tweet by Reuters ...,A,5249807,1, ,,,,,, Affordability,,,,,
... IKEA planning to slash product prices as costs decrease ...,B,790011,0.5, ,,,,,, Affordability,,,,,
... IKEA owners are eyeing further price cuts as some input costs are eased ...,C,0,0.25, ,,,,,, Affordability,,,,,
... IKEA is Focusing on Persistent Price Cuts as Some Input Costs Ease After Months of Hikes ... - Latest Tweet by Reuters ...,A,22022875,1, ,,,,,, Affordability,,,,,
... IKEA store owner eyes more price cuts as some input costs ease ...,C,923861,0.25, ,,,,,, Affordability,,,,,
... IKEA owner ‘optimistic’ about future price cuts as input costs ease ...,C,876,0.25, ,,,,,, Affordability,,,,,
Amid the cost of living crises Ikea will provide a 6 per cent pay rise as part of a £12 million investment plan – London Business News ...,C,1614,0.25, ,,,,,,,,,,,1
... Ikea wants to increase wages for Irish workers ...,C,3348,0.25,Love,,,,,,,,,,,
... IKEA stores owner Ingka's annual operating profit rises 9% ...,C,28331,0.25, ,,,,,,,,,,,
INGKA Group (IKEA) adopts Celonis to create ‘the perfect order’ ...,C,553565,0.25, ,,,,,,,,,,,
Man found shot in IKEA parking lot ...,C,296,0.25, ,,,,,,,,,,,
Bundle of cash found in Coquitlam IKEA reunited with rightful owner ...,C,8241,0.25, ,,,,,,,,,,,
New #IKEA game changer product for your fridge unboxing ...,C,296,0.25, ,,,,,,,,,,,1
... Ikea will investigate allegations about the use of forced prison labour ...,C,14593,0.25, ,,,,,,,,,,,
Music festival Echoes of Earth announces partnership with IKEA India ...,C,74436,0.25, ,,,,,,,,,,,
... IKEA India joins Echoes of Earth ...,B,7220,0.5, ,,,,,,,,,,,
... IKEA Dirigera hub to control smart devices ...,C,246,0.25, ,,,,,,,,,,,
... IKEA India Promotes Climate Positivity through Music & Lifestyle Event ...,C,1074,0.25, ,,,,,,,,,,,
... Ikea suppliers accused of using forced labor in Belarusian prisons – POLITICO ...,C,493240,0.25, ,,,,,,,,,,,
"... IKEA India joins Echoes of Earth, India’s greenest music festival to encourage climate positivity and circularity ...",C,132186,0.25, ,,,,,,,,,,,
NSE LED Poster Now Available in IKEA Singapore & More News ...,C,7155318,0.25, ,,,,,,,,, Awareness,,1
... Ikea For Pre-owned Cars? Spinny Experience Zone ...,B,33725,0.5, ,,,,,,,,,,,
... IKEA Starts Selling Solar Panels ...,C,177613,0.25, ,,,,,,,,,,,
Mayur Jumani says “Filming the music video was very difficult” on his latest campaign for IKEA India ‘Ghar Aa Jao’ ...,C,206364,0.25, ,,,,,,,,,,,
The IKEA Foundation Identifies Highest Impact Interventions for Philanthropy to Reduce Emissions and Will Deploy an Additional €600m for ...,C,312826,0.25, ,,,,,,,,,,,
The IKEA Foundation Identifies Highest Impact Interventions for Philanthropy to Reduce Emissions and Will Deploy an Additional €600m for ...,C,119101,0.25, ,,,,,,,,,,,
Why Pepperfry isn’t worried about the entry of IKEA or Pottery Barn ...,B,6781,0.5, ,,,,,,,,,,,
Why Pepperfry isn’t worried about the entry of IKEA or Pottery Barn ...,B,37853,0.5, ,,,,,,,,,,,
... IKEA Visa Credit Card Review – Forbes Advisor & More News ...,C,1470,0.25, ,,,,,,,,,,,1
TOMRA & IKEA highlight the future of wood recycling ...,C,8241,0.25, ,,,,,,,,,,,
... IKEA Sends Cease and Desist to Indie Dev Making Furniture Store Survival Game ...,C,10896,0.25, ,,,,,,,,,,,
... Ikea Tells SCP-Inspired Horror Game To Remove Brand References ...,C,5249807,0.25, ,,,,,,,,,,,
... Ikea Tells SCP-Inspired Horror Game To Remove Brand References ...,C,553565,0.25, ,,,,,,,,,,,
... IKEA Sends Cease and Desist to Indie Dev Making Furniture Store Survival Game ...,C,20546289,0.25, ,,,,,,,,,,,
... IKEA Sends Cease and Desist to Indie Dev Making Furniture Store Survival Game ...,C,27831,0.25, ,,,,,,,,,,,
... IKEA Sends Cease and Desist to Indie Dev Making Furniture Store Survival Game ...,B,3021,0.5, ,,,,,,,,,,,
Punjab Man’s ‘Ikea-Like’ Customisable Solar Kits Make it Easy to Adopt Clean Energy ...,A,5279,1,Love,,,,,,,,,,,1
... Ikea India reports net loss of Rs 902 Crore in FY22 ...,C,28331,0.25, ,,,,,,,,,,,
"... IKEA India net loss widens to ₹902 crore in FY22, sales up 77% ...",B,5249807,0.5, ,,,,,, Affordability,,,,,
The Store Is Closed Developer Claims IKEA Has Issued A Cease And Desist Order ...,C,352,0.25, ,,,,,,,,,,,
... IKEA: இந்தியாவில் நஷ்டம் அதிகரிப்பு.. திணறும் ஐகியா!,A,17894,1, ,,,,,,,,,,,
A producer of a “infinite furniture store survival game” is under danger from Ikea of legal action ...,C,19781038,0.25, ,,,,,,,,,,,
"... Ikea India revenue up 73% in FY22, but loss widens ...",C,894798,0.25, ,,,,,,,,,,,
... Ikea India records net loss of Rs 902 crore in FY22; sales up by 77 per cent ...,C,239293,0.25, ,,,,,, Affordability,,,,,
... Ikea India net loss widens to ₹902 crore in FY22; sales up 77% ...,C,6255,0.25, ,,,,,, Affordability,,,,,
... IKEA threatens indie developer with legal action over alleged trademark infringement ...,C,6219,0.25, ,,,,,,,,,,,
"... Ikea India net loss widens to ₹902 crore in FY22; sales up 77% to ₹1,076 crore ...",A,1470,1, ,,,,,, Affordability,,,,,
Walmart and Ikea continue to bleed in India as losses widen ...,B,9284,0.5, ,,,,,,,,,,,
... IKEA threatens indie developer with legal action over alleged trademark infringement ...,C,221353,0.25, ,,,,,,,,,,,
... IKEA threatens indie developer with legal action over alleged trademark infringement ...,C,7155318,0.25, ,,,,,,,,,,,
... Ikea India’s sales up by 77% and net loss of Rs. 902 crore in FY ’22 ...,C,28331,0.25, ,,,,,, Affordability,,,,,
... IKEA threatens legal action over horror game Store is closed ...,C,5333,0.25, ,,,,,,,,,,,
Walmart and Ikea continue to bleed in India as losses widen ...,C,208,0.25, ,,,,,,,,,,,
... Ikea India records net loss of Rs 902 crore in FY22; sales up by 77 per cent ...,C,1325,0.25, ,,,,,, Affordability,,,,,
"Free and cheap places for kids to eat – including Pizza Hut, Ikea and Prezzo ...",C,2789816,0.25, ,,,,,,,,,,,
... Ikea India records net loss of Rs 902 crore in FY22; sales up by 77% ...,B,43987565,0.5, ,,,,,, Affordability,,,,,
... Ikea India’s Net Loss Widens To Rs 902 Crore In FY22; Net Sales Up 77% ...,C,1470,0.25, ,,,,,, Affordability,,,,,
Walmart and Ikea continued to bleed in India as losses widen ...,A,108131,1, ,,,,,,,,,,,
... Ikea disclosed a net loss of Rs. 902 crore in FY22 ...,B,9265,0.5, ,,,,,,,,,,,
"... IKEA reports loss ₹902.8 cr, revenue up 73% to ₹1,126 cr ...",A,215,1, ,,,,,,,,,,,
... Ikea India Earnings: Company Reports Net Loss Of Rs 902 Crore In FY22 ...,A,221353,1, ,,,,,,,,,,,
... IKEA’s revenue for FY22 jumps 73% even as losses widens 12% to Rs 900 crore ...,C,21765,0.25, ,,,,,,,,,,,
"... Ikea India Net Loss Widens to Rs 902 Crore in FY22; Sales Up 77% to Rs 1,076 Crore ...",C,1234803,0.25, ,,,,,, Affordability,,,,,
... Ikea India net loss widens to Rs.902 crore in FY22; sales up 77% ...,C,769,0.25, ,,,,,, Affordability,,,,,
"... Ikea India Net Loss Widens to Rs 902 Crore in FY22; Sales Up 77% to Rs 1,076 Crore ...",C,8241,0.25, ,,,,,, Affordability,,,,,
"... Ikea India Net Loss Widens to Rs 902 Crore in FY22; Sales Up 77% to Rs 1,076 Crore ...",A,3021,1, ,,,,,, Affordability,,,,,
... ₹902 crore in FY22; sales up 77% data-reg=Ikea India net loss widens to  ₹902 crore in FY22; sales up 77%>Ikea India net loss widens to ...,A,876,1, ,,,,,, Affordability,,,,,
"... Ikea India revenue up 73% in FY22, but loss widens ...",C,1614,0.25, ,,,,,,,,,,,
"... Ikea India revenue up 73% in FY22, but loss widens ...",C,26436,0.25, ,,,,,,,,,,,
"... Ikea India revenue up 73% in FY22, but loss widens ...",A,1470,1, ,,,,,,,,,,,
... Ikea India net loss widens to Rs 902 crore in FY22 ...,A,22626,1, ,,,,,,,,,,,
"... Ikea India Net Loss Widens To Rs 902 Crore In Fy22; Sales Up 77% To Rs 1,076 Crore ...",A,0,1, ,,,,,, Affordability,,,,,
"... Ikea India net loss widens to Rs 902 crore in FY22; sales up 77 pc to Rs 1,076 crore ...",C,0,0.25, ,,,,,, Affordability,,,,,
"... Ikea India Net Loss Widens to Rs 902 Crore in FY 2022; Sales Up 77 Percent to Rs 1,076 Crore ...",A,381,1, ,,,,,, Affordability,,,,,
"... Ikea India net loss widens to Rs 902 crore in FY22; sales up 77% to Rs 1,076 crore ...",A,1470,1, ,,,,,, Affordability,,,,,
... Ikea India records net loss of Rs 902 crore in FY22; sales up by 77 per cent ...,A,27781,1, ,,,,,, Affordability,,,,,
"Designer Outlets, IKEA and Mar Shopping Celebrate Five Years ...",C,1470,0.25, ,,,,,,,,,,,
... IKEA FÖRNUFTIG review ...,C,2601459,0.25, ,,,,,,,,,,,
... Ikea opens a new branch concept in downtown Zurich ...,C,1614,0.25, ,,,,,,,,, Awareness,,1
Kerry Katona boasts of her 'great set of t**s' as she compares body to IKEA 'flat pack' ...,C,43987565,0.25,Love,,1,,,1,,,,,,1
... IKEA teams starts self-driving truck startup to test deliveries ...,C,879930,0.25, ,,,,,,,,,,,
"... Ikea Dirigera review: the Matter-ready smart home hub is easy to use and works well, but is expensive, lacks a migration tool from Trådfri ...",C,9938802,0.25, ,,,,,,,1,,,,1
"... Ikea Dirigera smart home review: easy to setup and use, finally ...",C,897456,0.25, ,,,,,,,,,,,1
"... Ikea Dirigera smart home review: easy to setup and use, finally ...",C,249359,0.25, ,,,,,,,,,,,1
"... Ikea Dirigera smart home review: easy to setup and use, finally ...",C,28331,0.25, ,,,,,,,,,,,1
Mayur Jumani asks customers to come home to Ikea ...,C,1325,0.25, ,,,,,,,,,,,
Hashtag Trends October 20 – Apple Employees Strike. Starlink Airplane Internet; IKEA Tests Unmanned Delivery ...,C,769,0.25, ,,,,,,,,,,,
"Self-driving truck routes start in Baytown, end at Frisco IKEA ...",C,0,0.25, ,,,,,,,,,,,
Ingka Centres to house Ikea retail stores ...,C,1325,0.25, ,,,,,,,,,,,
Self-driving truck company Kodiak Robotics partners with IKEA ...,C,0,0.25, ,,,,,,,,,,,
... Ikea prices 'soar up to 80%' amid surging raw material costs ...,C,769,0.25, ,,,,,, Affordability,,,,,
... Ikea India launches a live streaming shopping experience for customers ...,B,894798,0.5, ,,,,,,,,,,,
The Ikea-style flat-pack home for refugees ...,C,37853,0.25, ,,,,,,,,,,,
The Ikea-style flat-pack home for refugees ...,C,28331,0.25, ,,,,,,,,,,,
... Ikea: ఐకియాకు కష్టకాలం.. 10 వేల మంది ఉద్యోగులపై వేటు ...,A,40394,1, ,,,,,,,,,,,
"Job Cut News: আর্থিক মন্দার জের! 10,000 কর্মী ছাঁটাইয়ের পথে হাটল IKEA ...",B,35851,0.5, ,,,,,,,,,,,1
"Layoffs: दिग्गज स्वीडिश फर्नीचर कंपनी IKEA को निकालने पड़े 10 हजार कर्मचारी, ये है कारण ...",A,0,1, ,,,,,,,,,,,
... IKEA reports record sales as price hikes offset weakening consumer confidence ...,C,6214,0.25, ,,,,,, Affordability,,,,,
... Ikea succumbs to inflation as furniture makers raise prices ...,C,547381,0.25, ,,,,,, Affordability,,,,,
... IKEA calls 2022 an 'exceptional year' despite challenges including war ...,A,1553,1, ,,,,,,,,,,,
"... Ikea Plans to Raise Prices This Year as Inflation Soars, Ending a Policy of Stability over ... - Latest Tweet by Bloomberg ...",A,133069,1, ,,,,,, Affordability,,,,,
... IKEA India launches live streaming shopping experience ‘Live From IKEA’ ...,C,14734,0.25, ,,,,,,,,,,,
... IKEA India launches live streaming shopping experience ...,B,19827,0.5, ,,,,,,,,,,,
... IKEA India launches live streaming shopping experience ...,C,4739314,0.25, ,,,,,,,,,,,
... IKEA India launches live streaming shopping experience ...,B,1834797,0.5, ,,,,,,,,,,,
... IKEA India launches live streaming shopping experience ...,B,28937069,0.5, ,,,,,,,,,,,
... IKEA India launches live streaming shopping experience ...,A,897456,1, ,,,,,,,,,,,
... IKEA India launches live streaming shopping experience ...,A,116560,1, ,,,,,,,,,,,
... IKEA India launches live streaming shopping experience ...,A,544328,1, ,,,,,,,,,,,
... IKEA India launches live streaming shopping experience ...,C,9706893,0.25, ,,,,,,,,,,,
... IKEA India launches live streaming shopping experience ‘Live From IKEA’ ...,B,655961,0.5, ,,,,,,,,,,,
... Ikea brings live shopping experience ...,C,5908054,0.25, ,,,,,,,,,,,
"... IKEA launches live streaming sessions to enhance the Diwali shopping, here’s how they work ...",A,3245309,1, ,,,,,,,,,,,
... Ikea India launches live streaming shopping experience ‘Live From Ikea' ...,C,11031,0.25, ,,,,,,,,,,,
... IKEA India launches live streaming shopping experience ‘Live From IKEA’ ...,C,6745280,0.25, ,,,,,,,,,,,
... ‘Why is IKEA salmon so lean’: woman upset about thin fillet at IKEA S’pore ...,C,30118,0.25, ,,,,,,,,,,,
... Ikea invites people to shop for festive season in new campaign ...,B,879930,0.5, ,,,,,,,,,,,1
Akanksha Deo Sharma On Being The Only Indian Designer At Ikea ...,C,17817213,0.25, ,,,,,,,,,,,
... IKEA extends its new campaign Ghar Aajao amid the festive season ...,C,3020223,0.25, ,,,,,,,,,,,1
Make your neighbor think their house is haunted by blinking their Ikea smart bulbs ...,C,20901256,0.25, ,,,,,,,,,,,
Make your neighbor think their house is haunted by blinking their Ikea smart bulbs ...,C,843054,0.25, ,,,,,,,,,,,
... IKEA extends its new campaign Ghar Aajao amid the festive season ...,B,1325,0.5, ,,,,,,,,,,,1
... IKEA releases two TVCs featuring its range of products ...,B,208,0.5, ,,,,,,,,,,,
... IKEA releases two TVCs featuring its range of products ...,A,21909,1, ,,,,,,,,,,,
... Ikea breaks shopping stereotypes this festive season in new ad films ...,B,28331,0.5, ,,,,,,,,,,,1
... Ikea Smart Light System Flaw Lets Attackers Turn Bulbs on Full Blast ...,C,10896,0.25, ,,,,,,,,,,,
"... IKEA, Pride metro, pink toilets—how Ritu Maheshwari is making Noida NCR’s ‘it’ place ...",A,208,1, ,,,,,,,,,,,
... IKEA India Website Is Officially Live With Delivery In Two Cities ...,A,44651,1, ,,,,,,,,,,,
